Wed Apr 16 17:39:24 EDT 2014	XBeeInterface: Connection started, I'M SLEEPY 
Wed Apr 16 17:39:25 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:39:25 EDT 2014	
Wed Apr 16 17:39:30 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:39:30 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:39:30 EDT 2014	
Wed Apr 16 17:39:30 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:39:45 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:39:45 EDT 2014	
Wed Apr 16 17:39:45 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:39:46 EDT 2014	PilotController: PIDTarget 0.0,0.0,0.0,0.0,0.0
Wed Apr 16 17:39:46 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:39:47 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:39:47 EDT 2014	
Wed Apr 16 17:39:47 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:39:48 EDT 2014	
Wed Apr 16 17:39:48 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:39:48 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:39:48 EDT 2014	
Wed Apr 16 17:39:48 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:39:49 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:02 EDT 2014	
Wed Apr 16 17:40:02 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:06 EDT 2014	
Wed Apr 16 17:40:06 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:06 EDT 2014	
Wed Apr 16 17:40:06 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:07 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:07 EDT 2014	
Wed Apr 16 17:40:07 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:08 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:08 EDT 2014	
Wed Apr 16 17:40:08 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:09 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:09 EDT 2014	
Wed Apr 16 17:40:09 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:10 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:10 EDT 2014	
Wed Apr 16 17:40:10 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:11 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:11 EDT 2014	
Wed Apr 16 17:40:11 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:12 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:12 EDT 2014	
Wed Apr 16 17:40:12 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:13 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:13 EDT 2014	
Wed Apr 16 17:40:13 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:14 EDT 2014	PilotController: PIDTarget 0.0,0.0,0.0,0.0,0.0
Wed Apr 16 17:40:14 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:14 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:15 EDT 2014	
Wed Apr 16 17:40:15 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:15 EDT 2014	
Wed Apr 16 17:40:15 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:15 EDT 2014	FireScout: Test 1 started
Wed Apr 16 17:40:16 EDT 2014	FireScout: takeoff started
Wed Apr 16 17:40:16 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:16 EDT 2014	
Wed Apr 16 17:40:16 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:17 EDT 2014	PilotOut: ss01 a0001 
Wed Apr 16 17:40:17 EDT 2014	
Wed Apr 16 17:40:17 EDT 2014	PilotIn: ss01 a0001 
Wed Apr 16 17:40:19 EDT 2014	PilotOut: ss01 h0045 
Wed Apr 16 17:40:19 EDT 2014	
Wed Apr 16 17:40:19 EDT 2014	PilotIn: ss01 h0045 
Wed Apr 16 17:40:20 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:20 EDT 2014	
Wed Apr 16 17:40:20 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:21 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:21 EDT 2014	
Wed Apr 16 17:40:21 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:22 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:22 EDT 2014	
Wed Apr 16 17:40:22 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:23 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:23 EDT 2014	
Wed Apr 16 17:40:23 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:24 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:24 EDT 2014	
Wed Apr 16 17:40:24 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:25 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:25 EDT 2014	
Wed Apr 16 17:40:25 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:26 EDT 2014	PilotController: PIDTarget 0.0,0.0,0.0,0.0,0.0
Wed Apr 16 17:40:26 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:27 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:27 EDT 2014	
Wed Apr 16 17:40:27 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:27 EDT 2014	
Wed Apr 16 17:40:27 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:28 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:28 EDT 2014	
Wed Apr 16 17:40:28 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:29 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:31 EDT 2014	
Wed Apr 16 17:40:31 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:31 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:31 EDT 2014	
Wed Apr 16 17:40:31 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:32 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:32 EDT 2014	
Wed Apr 16 17:40:32 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:33 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:33 EDT 2014	
Wed Apr 16 17:40:33 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:34 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:34 EDT 2014	
Wed Apr 16 17:40:34 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:35 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:35 EDT 2014	
Wed Apr 16 17:40:35 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:36 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:36 EDT 2014	
Wed Apr 16 17:40:36 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:37 EDT 2014	PilotController: PIDTarget 0.0,0.0,0.0,0.0,0.0
Wed Apr 16 17:40:37 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:37 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:38 EDT 2014	
Wed Apr 16 17:40:38 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:38 EDT 2014	
Wed Apr 16 17:40:38 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:39 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:39 EDT 2014	
Wed Apr 16 17:40:39 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:39 EDT 2014	FireScout: land started
Wed Apr 16 17:40:40 EDT 2014	PilotOut: ss01 h0010 
Wed Apr 16 17:40:40 EDT 2014	
Wed Apr 16 17:40:40 EDT 2014	PilotIn: ss01 h0010 
Wed Apr 16 17:40:45 EDT 2014	PilotOut: ss01 a0000 
Wed Apr 16 17:40:45 EDT 2014	
Wed Apr 16 17:40:45 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:45 EDT 2014	
Wed Apr 16 17:40:45 EDT 2014	PilotIn: ss01 a0000 
Wed Apr 16 17:40:46 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:46 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:47 EDT 2014	
Wed Apr 16 17:40:47 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:47 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:47 EDT 2014	
Wed Apr 16 17:40:47 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:48 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:48 EDT 2014	
Wed Apr 16 17:40:48 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:49 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:49 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:50 EDT 2014	
Wed Apr 16 17:40:50 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:53 EDT 2014	
Wed Apr 16 17:40:53 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:53 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:53 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:54 EDT 2014	
Wed Apr 16 17:40:54 EDT 2014	PilotController: PIDTarget 0.0,0.0,0.0,0.0,0.0
Wed Apr 16 17:40:54 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:54 EDT 2014	
Wed Apr 16 17:40:54 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:55 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:55 EDT 2014	
Wed Apr 16 17:40:56 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:56 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:56 EDT 2014	
Wed Apr 16 17:40:56 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:57 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:57 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:58 EDT 2014	
Wed Apr 16 17:40:58 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:40:59 EDT 2014	
Wed Apr 16 17:40:59 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:40:59 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:41:00 EDT 2014	
Wed Apr 16 17:41:00 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:41:00 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:41:00 EDT 2014	
Wed Apr 16 17:41:00 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:41:01 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:41:01 EDT 2014	
Wed Apr 16 17:41:01 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:41:02 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:41:02 EDT 2014	
Wed Apr 16 17:41:02 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:41:03 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:41:03 EDT 2014	
Wed Apr 16 17:41:03 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:41:04 EDT 2014	PilotController: PIDTarget 0.0,0.0,0.0,0.0,0.0
Wed Apr 16 17:41:04 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:41:04 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:41:05 EDT 2014	
Wed Apr 16 17:41:05 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:41:05 EDT 2014	
Wed Apr 16 17:41:05 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:41:06 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:41:06 EDT 2014	
Wed Apr 16 17:41:06 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:41:07 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:41:07 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:41:08 EDT 2014	
Wed Apr 16 17:41:08 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:41:09 EDT 2014	
Wed Apr 16 17:41:09 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:41:09 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:41:10 EDT 2014	
Wed Apr 16 17:41:10 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:41:10 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:41:10 EDT 2014	
Wed Apr 16 17:41:10 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:41:11 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:41:11 EDT 2014	
Wed Apr 16 17:41:11 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:41:12 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:41:12 EDT 2014	
Wed Apr 16 17:41:12 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:41:13 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:41:13 EDT 2014	
Wed Apr 16 17:41:13 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:41:14 EDT 2014	PilotController: PIDTarget 0.0,0.0,0.0,0.0,0.0
Wed Apr 16 17:41:14 EDT 2014	PilotIn: ss00 
Wed Apr 16 17:41:14 EDT 2014	PilotOut: ss00 
Wed Apr 16 17:41:15 EDT 2014	
