Sun Apr 13 23:18:26 EDT 2014	XBeeInterface: Connection started, WE BUILT THIS CITY!
Sun Apr 13 23:18:27 EDT 2014	PilotOut: s00 
Sun Apr 13 23:18:27 EDT 2014	PilotIn: cx0.000000,cy0.000000,cz0.000000,
Sun Apr 13 23:18:27 EDT 2014	PilotIn: mo1,ar0,
Sun Apr 13 23:18:27 EDT 2014	PilotIn: cx0.000000,cy0.000000,cz0.000000,
Sun Apr 13 23:18:27 EDT 2014	PilotIn: mo1,ar0,
Sun Apr 13 23:18:27 EDT 2014	PilotOut: s00 
Sun Apr 13 23:18:27 EDT 2014	PilotIn: cx0.000000,cy0.000000,cz0.000000,
Sun Apr 13 23:18:28 EDT 2014	PilotIn: mo1,ar0,
Sun Apr 13 23:18:28 EDT 2014	PilotOut: s00 
Sun Apr 13 23:18:28 EDT 2014	PilotIn: cx0.000000,cy0.000000,cz0.000000,
Sun Apr 13 23:18:28 EDT 2014	PilotIn: mo1,ar0,
Sun Apr 13 23:18:28 EDT 2014	PilotIn: cx0.000000,cy0.000000,cz0.000000,
Sun Apr 13 23:18:28 EDT 2014	PilotIn: mo1,ar0,
Sun Apr 13 23:18:28 EDT 2014	PilotOut: s00 
Sun Apr 13 23:18:28 EDT 2014	PilotIn: cx0.000000,cy0.000000,cz0.000000,
Sun Apr 13 23:18:28 EDT 2014	PilotIn: mo1,ar0,
Sun Apr 13 23:18:28 EDT 2014	PilotIn: cx0.000000,cy0.000000,cz0.000000,
Sun Apr 13 23:18:29 EDT 2014	PilotIn: mo1,ar0,
Sun Apr 13 23:18:29 EDT 2014	PilotOut: s00 
Sun Apr 13 23:18:29 EDT 2014	PilotIn: cx0.000000,cy0.000000,cz0.000000,
Sun Apr 13 23:18:29 EDT 2014	PilotOut: s00 
Sun Apr 13 23:18:29 EDT 2014	PilotIn: mo1,ar0,
Sun Apr 13 23:18:29 EDT 2014	PilotIn: cx0.000000,cy0.000000,cz0.000000,
Sun Apr 13 23:18:29 EDT 2014	PilotIn: mo1,ar0,
Sun Apr 13 23:18:29 EDT 2014	PilotIn: cx0.000000,cy0.000000,cz0.000000,
Sun Apr 13 23:18:29 EDT 2014	PilotIn: mo1,ar0,
Sun Apr 13 23:18:29 EDT 2014	PilotIn: cx0.000000,cy0.000000,cz0.000000,
Sun Apr 13 23:18:29 EDT 2014	PilotIn: mo1,ar0,
Sun Apr 13 23:18:29 EDT 2014	PilotIn: cx0.000000,cy0.000000,cz0.000000,
Sun Apr 13 23:18:30 EDT 2014	PilotOut: s00 
Sun Apr 13 23:18:30 EDT 2014	PilotIn: mo1,ar0,
Sun Apr 13 23:18:30 EDT 2014	PilotIn: cx0.000000,cy0.000000,cz0.000000,
Sun Apr 13 23:18:30 EDT 2014	PilotIn: mo1,ar0,
Sun Apr 13 23:18:30 EDT 2014	PilotIn: cx0.000000,cy0.000000,cz0.000000,
Sun Apr 13 23:18:30 EDT 2014	PilotOut: s00 
Sun Apr 13 23:18:30 EDT 2014	PilotIn: mo1,ar0,
Sun Apr 13 23:18:30 EDT 2014	PilotIn: cx0.000000,cy0.000000,cz0.000000,
Sun Apr 13 23:18:30 EDT 2014	PilotIn: mo1,ar0,
